"Tipe;Pertanyaan;Opsi A;Opsi B;Opsi C;Opsi D;Jawaban";Pertanyaan;Opsi A;Opsi B;Opsi C;Opsi D;Jawaban
"MC;Hasil dari 25 + 15 x 2 adalah?;55;80;65;45;A";Perintah untuk menampilkan teks ke layar di Python adalah?;echo;printf;print;cout;C
"MC;Jika 3x = 27, berapakah nilai x?;3;7;9;6;C";Manakah contoh password yang paling aman dan kuat?;admin123;tanggal_lahir;P@ssw0rd_Kuat!;12345678;C
"ESSAY;Sebuah persegi memiliki sisi 10 cm. Berapa luasnya?;;;;;100";Alamat unik setiap perangkat dalam jaringan disebut?;IP Address;Mac Address;Home Address;Email Address;A
"MC;Berapakah hasil dari akar pangkat 2 dari 169?;11;12;13;14;C";Otak dari komputer yang memproses instruksi adalah?;RAM;Harddisk;CPU;VGA;C
"MC;Bangun datar yang memiliki 3 sisi dan 3 sudut disebut?;Persegi;Lingkaran;Segitiga;Trapesium;C";Teknik penipuan online menyamar jadi institusi resmi disebut?;Hacking;Phishing;Spamming;Debugging;B
"MC;Berapakah 15% dari 200?;15;20;25;30;D";Keyword untuk melakukan perulangan di Python adalah?;if;def;import;for;D
"MS;Pilihlah 2 bilangan ganjil di bawah ini!;2;5;8;11;B;D";Jaringan komputer dalam area kecil (rumah/kantor) disebut?;WAN;MAN;LAN;PAN;C
"MC;Konversi 2 jam ke dalam menit adalah?;60;90;100;120;D";Sistem bilangan komputer yang hanya terdiri dari angka 0 dan 1 disebut?;Desimal;Oktaf;Biner;Hexadesimal;C
"ESSAY;100 dibagi 4 dikali 5 sama dengan?;;;;;125";Ekstensi file kode program Python adalah?;.py;.exe;.java;.txt;A
"MC;Sudut lancip adalah sudut yang besarnya kurang dari ... derajat?;90;180;270;360;A";Siapa pencipta bahasa pemrograman Python?;Elon Musk;Bill Gates;Guido van Rossum;Mark Zuckerberg;C
